ID,Title / Filename
Uncertainty_3_Human,Modular Calibration for Long-form Answers
Uncertainty_4_Human,Uncertainty Estimation via Consistency in Self-generated References in Large Language Models
Uncertainty_5_Human,Probabilistic Opinion Pooling for Open-Domain Question Answering
Uncertainty_6_Human,Enhancing AI Model Reliability by Learning to Express Uncertainty
Uncertainty_1_AI,semantic_uncertainty_lattice_prompting.json 
Uncertainty_2_AI,contrastive_semantic_pivot_prompting.json 
Uncertainty_3_AI,counterfactual_cascade_uncertainty_estimation.json 
Uncertainty_4_AI,differential_confidence_mapping.json
Uncertainty_5_AI,adversarial_socratic_dialogue_for_uncertainty_calibration.json 
Uncertainty_6_AI,entropy-guided_prompt_mutation.json
